Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
L1-RNA-BS-030325_S57_L001_R2_001	0.1443782166174843	0.4618174461899438
L2-RNA-BS-030325_S58_L001_R1	0.6481556400660918	1.8200784612079062
L2-RNA-BS-030325_S58_L001_R1_001	0.6457918276781799	1.966617211198852
L2-RNA-BS-030325_S58_L001_R2	0.18505576256862982	0.6095832895678392
L2-RNA-BS-030325_S58_L001_R2_001	0.18338160457135652	0.8606895588538033
L3-RNA-BS-030325_S59_L001_R1	0.6778474070910893	1.768890372357927
L3-RNA-BS-030325_S59_L001_R1_001	0.6746326893134275	1.8675382397726792
L3-RNA-BS-030325_S59_L001_R2	0.17288287825094864	0.47946922347747356
L3-RNA-BS-030325_S59_L001_R2_001	0.17132591493379135	0.71140253920038
P1-RNA-BS-030325_S54_L001_R1	0.5257315225004094	1.1495523820127471
P1-RNA-BS-030325_S54_L001_R1_001	0.5231736473045088	1.3028004182247332
P1-RNA-BS-030325_S54_L001_R2	0.14300988664929515	0.21843146608212283
P1-RNA-BS-030325_S54_L001_R2_001	0.15889297748899167	0.4851268197295435
P2-RNA-BS-030325_S2_L001_R1	0.3291541487265823	0.57390115260686
P2-RNA-BS-030325_S2_L001_R1_001	0.5307938554650974	0.8951123490113261
P2-RNA-BS-030325_S2_L001_R2	0.0	0.0
P2-RNA-BS-030325_S2_L001_R2_001	0.5337652721472388	0.0
P2-RNA-BS-030325_S55_L001_R1	0.5509188677142091	1.2437807145001107
P2-RNA-BS-030325_S55_L001_R1_001	0.547164512776284	1.5264373478794089
P2-RNA-BS-030325_S55_L001_R2	0.13680237042630897	0.20623542963762434
P2-RNA-BS-030325_S55_L001_R2_001	0.29051464775332125	0.4547732936701151
P3-RNA-BS-030325_S56_L001_R1	0.5417582527756184	1.1632704535399196
P3-RNA-BS-030325_S56_L001_R1_001	0.5386525044127	1.3532970983036265
P3-RNA-BS-030325_S56_L001_R2	0.1314124123646492	0.0
P3-RNA-BS-030325_S56_L001_R2_001	0.1950110513704367	0.2643394040217507
Q1-RNA-BS-030325_S51_L001_R1	0.4464731360180502	0.9486987516640193
Q1-RNA-BS-030325_S51_L001_R1_001	0.444026576163775	1.0600613923362483
Q1-RNA-BS-030325_S51_L001_R2	0.12901548733103488	0.10036863922608838
Q1-RNA-BS-030325_S51_L001_R2_001	0.14319700946966754	0.24392386729003898
Q2-RNA-BS-030325_S52_L001_R1	0.46025923941489	1.2177232000361835
Q2-RNA-BS-030325_S52_L001_R1_001	0.4582515940680637	1.3257185378089846
Q2-RNA-BS-030325_S52_L001_R2	0.12912846325662386	0.20140216830256413
Q2-RNA-BS-030325_S52_L001_R2_001	0.18154665413702423	0.2399145900548317
Q3-RNA-BS-030325_S1_L001_R1	0.2567141063400031	0.36490366280908887
Q3-RNA-BS-030325_S1_L001_R1_001	1.864671856641401	0.6072795624592371
Q3-RNA-BS-030325_S1_L001_R2	0.0	0.0
Q3-RNA-BS-030325_S1_L001_R2_001	1.8757557178067268	0.0
Q3-RNA-BS-030325_S53_L001_R1	0.43130383284596424	1.0425288460689301
Q3-RNA-BS-030325_S53_L001_R1_001	1.1269320603885142	1.451302241447988
Q3-RNA-BS-030325_S53_L001_R2	0.11950411670215667	0.0
Q3-RNA-BS-030325_S53_L001_R2_001	1.1310492335338145	0.2626849510162361
