Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
C3-RNA-BS-030325_S46_L001_R2	(1.0, 27.33776311148542)	(2.0, 12.762800163493548)	(3.0, 7.046345564560487)	(4.0, 4.382050845312096)	(5.0, 3.0569600358762283)	(6.0, 2.4322248354902034)	(7.0, 1.8920761263757362)	(8.0, 1.6448801650932887)	(9.0, 1.43932380883983)	('>10', 14.196733297029759)	('>50', 4.039941903635412)	('>100', 8.911316994311592)	('>500', 3.012267300045179)	('>1k', 4.023876039159633)	('>5k', 1.0909559630471213)	('>10k+', 2.7304838462445855)
C3-RNA-BS-030325_S46_L001_R2_001	(1.0, 28.210297743784658)	(2.0, 12.556847651843292)	(3.0, 6.935279310538807)	(4.0, 4.327067140346654)	(5.0, 3.005922757135338)	(6.0, 2.3880642637330496)	(7.0, 1.865609777123587)	(8.0, 1.6380252007732248)	(9.0, 1.4054444731947382)	('>10', 13.985034637447189)	('>50', 3.9866217864769)	('>100', 8.772517326990119)	('>500', 2.962183323535)	('>1k', 3.9888791667194696)	('>5k', 1.0788224143738159)	('>10k+', 2.893383025983955)
F1-RNA-BS-030325_S47_L001_R1	(1.0, 22.64272069204494)	(2.0, 11.647767704691494)	(3.0, 6.615855285252854)	(4.0, 4.194387525763635)	(5.0, 2.908627258374246)	(6.0, 2.1856978237496874)	(7.0, 1.8524762211437908)	(8.0, 1.5654917534675628)	(9.0, 1.352344059782066)	('>10', 15.852520285413174)	('>50', 4.744176957315878)	('>100', 9.449681829400621)	('>500', 3.6507511739232794)	('>1k', 5.908132025472548)	('>5k', 1.2571529207668166)	('>10k+', 4.172216483437637)
F1-RNA-BS-030325_S47_L001_R1_001	(1.0, 22.72215098008959)	(2.0, 11.55139394182964)	(3.0, 6.54190243465341)	(4.0, 4.183689589502827)	(5.0, 2.905992201760233)	(6.0, 2.172811208183096)	(7.0, 1.8326632910106677)	(8.0, 1.5642502935557314)	(9.0, 1.3413373234540453)	('>10', 15.758271263459935)	('>50', 4.727114459454092)	('>100', 9.42706449484407)	('>500', 3.656817306045227)	('>1k', 5.917393286580513)	('>5k', 1.2775301793590768)	('>10k+', 4.419617746217941)
F1-RNA-BS-030325_S47_L001_R2	(1.0, 25.576168176872276)	(2.0, 12.596845147234106)	(3.0, 7.165370270112054)	(4.0, 4.493934803159741)	(5.0, 3.191124771553834)	(6.0, 2.4163064133069674)	(7.0, 1.8256868911366992)	(8.0, 1.5108992220071666)	(9.0, 1.2943623876745403)	('>10', 14.564535425664069)	('>50', 4.25720027097066)	('>100', 9.163535829501555)	('>500', 3.045238776933651)	('>1k', 4.243623060734906)	('>5k', 0.8704626906512537)	('>10k+', 3.7847058624862213)
F1-RNA-BS-030325_S47_L001_R2_001	(1.0, 26.288339320890476)	(2.0, 12.38238292405552)	(3.0, 7.092773581264438)	(4.0, 4.419549039988347)	(5.0, 3.1188235774237523)	(6.0, 2.358408566444564)	(7.0, 1.8259502788769482)	(8.0, 1.4914210576919888)	(9.0, 1.2902289808597442)	('>10', 14.317911385452952)	('>50', 4.209094851378869)	('>100', 9.018625427582412)	('>500', 3.0090841397103647)	('>1k', 4.20206950705816)	('>5k', 0.8550481166717434)	('>10k+', 4.120289244649502)
F2-RNA-BS-030325_S48_L001_R1	(1.0, 20.209594778013194)	(2.0, 10.629550523392032)	(3.0, 6.277569696613275)	(4.0, 3.9635389799707017)	(5.0, 2.853651140474287)	(6.0, 2.218409327757435)	(7.0, 1.8562510691172942)	(8.0, 1.6277069935525836)	(9.0, 1.4242266302586466)	('>10', 17.236561947633618)	('>50', 5.148345752472959)	('>100', 10.092442480988964)	('>500', 3.7868479040459806)	('>1k', 6.684158432871547)	('>5k', 1.417815410231263)	('>10k+', 4.573328932606374)
F2-RNA-BS-030325_S48_L001_R1_001	(1.0, 20.332447836652154)	(2.0, 10.521616901044432)	(3.0, 6.293536584017066)	(4.0, 3.944638500927226)	(5.0, 2.829041133464425)	(6.0, 2.2025029294035776)	(7.0, 1.8121234518841334)	(8.0, 1.6509838578523686)	(9.0, 1.4036960497575666)	('>10', 17.170612559409225)	('>50', 5.107006806344152)	('>100', 9.995224777685427)	('>500', 3.798574454423225)	('>1k', 6.688174027562263)	('>5k', 1.4265884107205673)	('>10k+', 4.823231718852182)
F2-RNA-BS-030325_S48_L001_R2	(1.0, 23.473902521671118)	(2.0, 11.648678732919588)	(3.0, 6.690843277597142)	(4.0, 4.378040574635628)	(5.0, 3.1583776571233577)	(6.0, 2.3751159462306)	(7.0, 1.993554188819772)	(8.0, 1.6226553983363585)	(9.0, 1.4244416967643923)	('>10', 15.822681054888196)	('>50', 4.693707238527294)	('>100', 9.590553256134084)	('>500', 3.3343039285342853)	('>1k', 4.716299032648108)	('>5k', 0.9156942528770364)	('>10k+', 4.16115124229281)
F2-RNA-BS-030325_S48_L001_R2_001	(1.0, 24.419720469255125)	(2.0, 11.451449579320572)	(3.0, 6.580345926164334)	(4.0, 4.302520839311697)	(5.0, 3.0977746538762356)	(6.0, 2.328243550041576)	(7.0, 1.97239154823678)	(8.0, 1.5798133711892919)	(9.0, 1.38083455847443)	('>10', 15.567072013362571)	('>50', 4.612617438186209)	('>100', 9.400361093878482)	('>500', 3.2670645848290563)	('>1k', 4.658337245770696)	('>5k', 0.886811704763476)	('>10k+', 4.4946414233394405)
F3-RNA-BS-030325_S49_L001_R1	(1.0, 22.033904409907127)	(2.0, 11.358186514217996)	(3.0, 6.441276031611228)	(4.0, 3.9683745801487937)	(5.0, 2.9457279866194375)	(6.0, 2.342208762574866)	(7.0, 1.8661914273334597)	(8.0, 1.5973102002121486)	(9.0, 1.3389890621273333)	('>10', 16.64873507831451)	('>50', 4.9943918491215475)	('>100', 9.68007394249766)	('>500', 3.8275963808739966)	('>1k', 6.1698536274012366)	('>5k', 1.179089892902903)	('>10k+', 3.6080902541356945)
F3-RNA-BS-030325_S49_L001_R1_001	(1.0, 22.135243186457043)	(2.0, 11.270915574643196)	(3.0, 6.412890692125789)	(4.0, 3.9562704345962167)	(5.0, 2.9167029207961193)	(6.0, 2.3498080124739387)	(7.0, 1.8708785126455723)	(8.0, 1.6005689029613492)	(9.0, 1.3158558847661512)	('>10', 16.59563208533383)	('>50', 4.961603655370407)	('>100', 9.626413624617792)	('>500', 3.8275117854757386)	('>1k', 6.175540775382539)	('>5k', 1.2316651221571182)	('>10k+', 3.75249883019731)
F3-RNA-BS-030325_S49_L001_R2	(1.0, 25.347370846874956)	(2.0, 12.524814538969029)	(3.0, 6.964691067515464)	(4.0, 4.394830378156694)	(5.0, 3.105029669637391)	(6.0, 2.3867309655105187)	(7.0, 1.965455939459013)	(8.0, 1.6295327291017099)	(9.0, 1.40598835148737)	('>10', 15.031526189086017)	('>50', 4.446379058821981)	('>100', 9.394507017128122)	('>500', 3.1299247992448738)	('>1k', 4.160710991100058)	('>5k', 0.8805326787041928)	('>10k+', 3.231974779202943)
F3-RNA-BS-030325_S49_L001_R2_001	(1.0, 26.052431657696673)	(2.0, 12.347394764363862)	(3.0, 6.857798492805528)	(4.0, 4.355951059697935)	(5.0, 3.0514628199061136)	(6.0, 2.3537568578369794)	(7.0, 1.9467990803392379)	(8.0, 1.619866377568128)	(9.0, 1.3830281058485245)	('>10', 14.859648106685933)	('>50', 4.385580983134192)	('>100', 9.255370297689137)	('>500', 3.0917718022278193)	('>1k', 4.129813060770328)	('>5k', 0.8743062442098567)	('>10k+', 3.435020289219648)
F4-RNA-BS-030325_S50_L001_R1	(1.0, 23.12943123486246)	(2.0, 11.730682345507725)	(3.0, 6.602076937784335)	(4.0, 4.186741660189039)	(5.0, 2.9252569597815894)	(6.0, 2.213389465656524)	(7.0, 1.8613836300370261)	(8.0, 1.5574111271739919)	(9.0, 1.3924280746945412)	('>10', 16.525905746276653)	('>50', 4.857496182888608)	('>100', 9.269373863781453)	('>500', 3.5224191784476937)	('>1k', 5.796799226113519)	('>5k', 1.1526700304883601)	('>10k+', 3.2765343363164736)
F4-RNA-BS-030325_S50_L001_R1_001	(1.0, 23.19211056462703)	(2.0, 11.683431829965311)	(3.0, 6.584608010044684)	(4.0, 4.146426746615772)	(5.0, 2.9382189651614286)	(6.0, 2.214376565810909)	(7.0, 1.86245679005733)	(8.0, 1.5550789239090506)	(9.0, 1.3779126910665147)	('>10', 16.49187196181864)	('>50', 4.8308867492066785)	('>100', 9.25664423901385)	('>500', 3.5320847673262685)	('>1k', 5.813813154470294)	('>5k', 1.1717298693638147)	('>10k+', 3.3483481715426615)
F4-RNA-BS-030325_S50_L001_R2	(1.0, 26.5569180486994)	(2.0, 12.767729389182087)	(3.0, 7.089983797128076)	(4.0, 4.4873995741658135)	(5.0, 3.178085431332546)	(6.0, 2.477063965884658)	(7.0, 1.8715267738686285)	(8.0, 1.6073475230440795)	(9.0, 1.3650944963060685)	('>10', 14.819972984812912)	('>50', 4.205247845263943)	('>100', 8.962758496328046)	('>500', 2.997963312857097)	('>1k', 3.8915222928700115)	('>5k', 0.9728586920332757)	('>10k+', 2.7485273762231652)
F4-RNA-BS-030325_S50_L001_R2_001	(1.0, 27.289639502064645)	(2.0, 12.558503542785292)	(3.0, 7.001999869089663)	(4.0, 4.44176338426376)	(5.0, 3.1065973549788612)	(6.0, 2.4289283975848943)	(7.0, 1.8827281304733716)	(8.0, 1.5979142416110381)	(9.0, 1.3349860478030835)	('>10', 14.657795442442431)	('>50', 4.152976251080868)	('>100', 8.815825339438375)	('>500', 2.9899142650947685)	('>1k', 3.8629942711764444)	('>5k', 0.9610557743558108)	('>10k+', 2.9163781857569506)
L1-RNA-BS-030325_S57_L001_R1	(1.0, 23.25269019141767)	(2.0, 12.1738576683856)	(3.0, 6.939503460379154)	(4.0, 4.331126203261904)	(5.0, 3.0139366250940482)	(6.0, 2.270512369904859)	(7.0, 1.8979355868491345)	(8.0, 1.5548125638693762)	(9.0, 1.340854250807894)	('>10', 15.564912886958417)	('>50', 4.460789270250593)	('>100', 8.808893523699334)	('>500', 3.2255031454360186)	('>1k', 5.1525953440351175)	('>5k', 1.1857458533582925)	('>10k+', 4.826331056292487)
L1-RNA-BS-030325_S57_L001_R1_001	(1.0, 23.366192496792802)	(2.0, 12.091397018777759)	(3.0, 6.891114133347158)	(4.0, 4.292922364690381)	(5.0, 2.992035704842421)	(6.0, 2.2792558856913065)	(7.0, 1.904328685162424)	(8.0, 1.5346330400345287)	(9.0, 1.3303096853024534)	('>10', 15.508871169313435)	('>50', 4.483900539134191)	('>100', 8.82768947989621)	('>500', 3.199971301674269)	('>1k', 5.187754176249322)	('>5k', 1.1331936783575467)	('>10k+', 4.976430640733772)
L1-RNA-BS-030325_S57_L001_R2	(1.0, 26.929583468795055)	(2.0, 13.133278368315713)	(3.0, 7.4222201562692005)	(4.0, 4.572055760922118)	(5.0, 3.1579018473009466)	(6.0, 2.3585426053427123)	(7.0, 1.8208808822644467)	(8.0, 1.561805989252174)	(9.0, 1.2994925999021811)	('>10', 14.11672612081183)	('>50', 3.9933078465999534)	('>100', 8.10888536744514)	('>500', 2.6752265786375418)	('>1k', 3.741706496932477)	('>5k', 0.6787375666458882)	('>10k+', 4.429648344562562)
L1-RNA-BS-030325_S57_L001_R2_001	(1.0, 27.652531006415465)	(2.0, 12.929791552918873)	(3.0, 7.34402669993824)	(4.0, 4.484355997093533)	(5.0, 3.1537460559560992)	(6.0, 2.3180453760553363)	(7.0, 1.8044411226138626)	(8.0, 1.53290729662502)	(9.0, 1.2848697197940253)	('>10', 13.922612844257081)	('>50', 3.96018831705549)	('>100', 7.994310611263302)	('>500', 2.656847204448491)	('>1k', 3.676363477998606)	('>5k', 0.6858042665519858)	('>10k+', 4.599158451015125)
L2-RNA-BS-030325_S58_L001_R1	(1.0, 22.647800158198827)	(2.0, 11.57094422877994)	(3.0, 6.49069666453642)	(4.0, 4.174884955671756)	(5.0, 3.0740698062252365)	(6.0, 2.3603216077438662)	(7.0, 1.842489420917661)	(8.0, 1.5998963573669027)	(9.0, 1.3429820941242359)	('>10', 16.293688912228312)	('>50', 4.702011900484165)	('>100', 9.140463439183096)	('>500', 3.3854370843033075)	('>1k', 5.050951226914733)	('>5k', 1.2484550212923766)	('>10k+', 5.074907122029254)
L2-RNA-BS-030325_S58_L001_R1_001	(1.0, 22.72678398823001)	(2.0, 11.46868955188896)	(3.0, 6.4548784315162795)	(4.0, 4.163565344743894)	(5.0, 3.0490449189612816)	(6.0, 2.3694615463246267)	(7.0, 1.8328239845355618)	(8.0, 1.6059107891460793)	(9.0, 1.3306081367594607)	('>10', 16.216404994984213)	('>50', 4.705279849328133)	('>100', 9.084750654339608)	('>500', 3.4173218615305383)	('>1k', 5.079099334958472)	('>5k', 1.254481355947219)	('>10k+', 5.240895256805728)
L2-RNA-BS-030325_S58_L001_R2	(1.0, 25.762223212252273)	(2.0, 12.632094902987992)	(3.0, 7.088140339304072)	(4.0, 4.584286113651912)	(5.0, 3.135455137186231)	(6.0, 2.4388119876650656)	(7.0, 2.002913268269991)	(8.0, 1.6582035137551712)	(9.0, 1.4164825528359353)	('>10', 14.513860035225571)	('>50', 4.154936596251591)	('>100', 8.572361929684648)	('>500', 2.7445803499539836)	('>1k', 3.6766471147231874)	('>5k', 0.8703715154129787)	('>10k+', 4.748631430839401)
L2-RNA-BS-030325_S58_L001_R2_001	(1.0, 26.40586673850543)	(2.0, 12.479888008715985)	(3.0, 6.989873703982568)	(4.0, 4.513727394543467)	(5.0, 3.1287761973482238)	(6.0, 2.3957753413578713)	(7.0, 1.9688803651686009)	(8.0, 1.627873139410104)	(9.0, 1.3871558609558026)	('>10', 14.357232327151356)	('>50', 4.0920565000352465)	('>100', 8.462731409886487)	('>500', 2.723982867049971)	('>1k', 3.6560056722363803)	('>5k', 0.8206287014244079)	('>10k+', 4.9895457722279675)
L3-RNA-BS-030325_S59_L001_R1	(1.0, 22.29328758178437)	(2.0, 11.741448474124148)	(3.0, 6.74531909933603)	(4.0, 4.136990527852878)	(5.0, 2.965513710879529)	(6.0, 2.2517148518494916)	(7.0, 1.8153638778977355)	(8.0, 1.5227943104894748)	(9.0, 1.3499323371341294)	('>10', 15.470810035207386)	('>50', 4.535918352811109)	('>100', 9.004401790019102)	('>500', 3.535168089908726)	('>1k', 5.7871169755717595)	('>5k', 1.3773744581815355)	('>10k+', 5.4668455269527305)
L3-RNA-BS-030325_S59_L001_R1_001	(1.0, 22.4243605458609)	(2.0, 11.681755388629805)	(3.0, 6.703560363133963)	(4.0, 4.140088229983491)	(5.0, 2.932838559627472)	(6.0, 2.23197565326548)	(7.0, 1.8059351937241532)	(8.0, 1.5210987662542514)	(9.0, 1.3593206833833555)	('>10', 15.431310826081498)	('>50', 4.529733273025912)	('>100', 8.94639138427102)	('>500', 3.490547528942651)	('>1k', 5.8153732363169075)	('>5k', 1.4006712563057548)	('>10k+', 5.585039111193561)
L3-RNA-BS-030325_S59_L001_R2	(1.0, 25.924620716622837)	(2.0, 12.673170205259426)	(3.0, 6.973163832031333)	(4.0, 4.386874945467635)	(5.0, 3.034985021045011)	(6.0, 2.4079985445809164)	(7.0, 1.8789432528707855)	(8.0, 1.5406933466893944)	(9.0, 1.2864242505643473)	('>10', 13.973836960416774)	('>50', 4.0550962530384655)	('>100', 8.544457427849053)	('>500', 3.0079673875243658)	('>1k', 4.4224649650594055)	('>5k', 0.9477307911046805)	('>10k+', 4.941572099875597)
L3-RNA-BS-030325_S59_L001_R2_001	(1.0, 26.689813684442882)	(2.0, 12.50364539819689)	(3.0, 6.858264026152685)	(4.0, 4.345402102596172)	(5.0, 2.982883913768296)	(6.0, 2.370568721826275)	(7.0, 1.8614770282144488)	(8.0, 1.524922913704521)	(9.0, 1.2776072043568087)	('>10', 13.779745519035224)	('>50', 3.995075137913457)	('>100', 8.422019047671302)	('>500', 2.9792461970129707)	('>1k', 4.350763150840172)	('>5k', 0.9224793240900981)	('>10k+', 5.136086630177632)
P1-RNA-BS-030325_S54_L001_R1	(1.0, 22.041354465404968)	(2.0, 11.548932632951994)	(3.0, 6.542318483706302)	(4.0, 4.13010740293965)	(5.0, 3.0224081493921284)	(6.0, 2.329931967943473)	(7.0, 1.948461164841527)	(8.0, 1.6138299747080433)	(9.0, 1.4128921347420613)	('>10', 16.659238177897812)	('>50', 4.897930030726731)	('>100', 9.893175995382363)	('>500', 3.7009161403242694)	('>1k', 5.3560444880047084)	('>5k', 1.0943126978491475)	('>10k+', 3.80814609318516)
P1-RNA-BS-030325_S54_L001_R1_001	(1.0, 22.14013021130302)	(2.0, 11.471070530053357)	(3.0, 6.5237687386722945)	(4.0, 4.11228477974962)	(5.0, 3.0001183998772647)	(6.0, 2.307714611997794)	(7.0, 1.9403983032994627)	(8.0, 1.5951052408892337)	(9.0, 1.4106905165736534)	('>10', 16.5934653277647)	('>50', 4.862371118499785)	('>100', 9.870966989710652)	('>500', 3.6708382028701045)	('>1k', 5.385637492503839)	('>5k', 1.1410720163461243)	('>10k+', 3.9743675198891437)
P1-RNA-BS-030325_S54_L001_R2	(1.0, 25.347715435679298)	(2.0, 12.676202668960714)	(3.0, 7.174345544070425)	(4.0, 4.501290486973968)	(5.0, 3.2819604065917773)	(6.0, 2.5133759835502536)	(7.0, 1.9532175348338194)	(8.0, 1.6529024853089502)	(9.0, 1.4191773729330655)	('>10', 14.946293617742617)	('>50', 4.471731994514232)	('>100', 9.270536879854403)	('>500', 2.930342559731614)	('>1k', 3.4963685920732868)	('>5k', 1.113723991985296)	('>10k+', 3.250814445196111)
P1-RNA-BS-030325_S54_L001_R2_001	(1.0, 26.161527960316196)	(2.0, 12.439801672975296)	(3.0, 7.058156825154484)	(4.0, 4.459362601956175)	(5.0, 3.227767008903594)	(6.0, 2.436802644857045)	(7.0, 1.9539438928280517)	(8.0, 1.6282076778831434)	(9.0, 1.400854804742343)	('>10', 14.709683727371662)	('>50', 4.417041593487755)	('>100', 9.122524547586295)	('>500', 2.9149118688867834)	('>1k', 3.431537643683712)	('>5k', 1.0958340902013692)	('>10k+', 3.5420414391658896)
P2-RNA-BS-030325_S2_L001_R1	(1.0, 43.765457075856276)	(2.0, 15.947256249939507)	(3.0, 7.2705752281244225)	(4.0, 4.0420032818454565)	(5.0, 2.627276547391965)	(6.0, 1.755042780959596)	(7.0, 1.3998174244190005)	(8.0, 1.1122240785139357)	(9.0, 0.8865578823089866)	('>10', 9.557078910249732)	('>50', 2.732642809825595)	('>100', 4.718086298966026)	('>500', 0.9996333675666125)	('>1k', 1.3932862562613153)	('>5k', 0.5202158737068254)	('>10k+', 1.272845934064724)
P2-RNA-BS-030325_S2_L001_R1_001	(1.0, 43.5654853143877)	(2.0, 15.776611731514818)	(3.0, 7.196008040897242)	(4.0, 4.01042483702254)	(5.0, 2.5956545563111413)	(6.0, 1.7477140295305993)	(7.0, 1.3780105229443984)	(8.0, 1.101647509362178)	(9.0, 0.864281201891892)	('>10', 9.504708789596133)	('>50', 2.700439094275688)	('>100', 4.713198000335136)	('>500', 1.0065886551252838)	('>1k', 1.3876631364494267)	('>5k', 0.5148233142598699)	('>10k+', 1.936741266096156)
P2-RNA-BS-030325_S2_L001_R2	(1.0, 59.449541742929156)	(2.0, 15.962825823594804)	(3.0, 5.8394770573653325)	(4.0, 2.736985495884897)	(5.0, 1.49557930333131)	(6.0, 0.9871792435186719)	(7.0, 0.7324119510859929)	(8.0, 0.5377843806122724)	(9.0, 0.46475132595091595)	('>10', 4.482988375762131)	('>50', 1.518794897329857)	('>100', 2.419111377875693)	('>500', 0.596053200219149)	('>1k', 1.635036941966119)	('>5k', 1.0441501105820206)	('>10k+', 0.0973287719916101)
P2-RNA-BS-030325_S2_L001_R2_001	(1.0, 59.230004273600926)	(2.0, 15.681207824882287)	(3.0, 5.8016549087112175)	(4.0, 2.693007120345504)	(5.0, 1.489726235899649)	(6.0, 0.9743400763288612)	(7.0, 0.7213250947680143)	(8.0, 0.5338485190934392)	(9.0, 0.4525764979553628)	('>10', 4.449559102387765)	('>50', 1.5028744490269834)	('>100', 2.392233526214123)	('>500', 0.605144199001862)	('>1k', 1.5973736837748946)	('>5k', 1.0266476174858294)	('>10k+', 0.8484768705233299)
P2-RNA-BS-030325_S55_L001_R1	(1.0, 24.6458800263536)	(2.0, 11.976140987781687)	(3.0, 6.77926799251812)	(4.0, 4.289782482586334)	(5.0, 2.948654239567549)	(6.0, 2.351013245145216)	(7.0, 2.00368663740126)	(8.0, 1.5825601496542996)	(9.0, 1.3199051570093314)	('>10', 15.81175402064626)	('>50', 4.622071085467827)	('>100', 9.208219255604297)	('>500', 3.4479935076722112)	('>1k', 4.535527100747993)	('>5k', 0.9749712911403424)	('>10k+', 3.502572820703566)
P2-RNA-BS-030325_S55_L001_R1_001	(1.0, 24.677252541202876)	(2.0, 11.87584014151662)	(3.0, 6.7103941302859775)	(4.0, 4.25344346407461)	(5.0, 2.9297563114093887)	(6.0, 2.3337699144048556)	(7.0, 2.012305526824856)	(8.0, 1.5700335386327746)	(9.0, 1.3167390994895003)	('>10', 15.742487542249547)	('>50', 4.590919444030632)	('>100', 9.168420458744178)	('>500', 3.484882807679242)	('>1k', 4.52110085388156)	('>5k', 0.998198368629494)	('>10k+', 3.814455856943845)
P2-RNA-BS-030325_S55_L001_R2	(1.0, 28.419104171792252)	(2.0, 13.044521024801186)	(3.0, 7.377640922023679)	(4.0, 4.528245794036434)	(5.0, 3.1704306132477806)	(6.0, 2.387827901255496)	(7.0, 1.8591089038247435)	(8.0, 1.5900984101081768)	(9.0, 1.306710552636907)	('>10', 13.933518730251162)	('>50', 4.282881898562178)	('>100', 8.715351574120772)	('>500', 2.53998146720845)	('>1k', 2.817584289796388)	('>5k', 1.2373525870637763)	('>10k+', 2.7896411592707393)
P2-RNA-BS-030325_S55_L001_R2_001	(1.0, 29.11672422579984)	(2.0, 12.795601819230118)	(3.0, 7.25603816129804)	(4.0, 4.448408767623425)	(5.0, 3.127282345487105)	(6.0, 2.3553125730033404)	(7.0, 1.8517898759109055)	(8.0, 1.5531138015793506)	(9.0, 1.2810472860984783)	('>10', 13.714780626266485)	('>50', 4.210618783366906)	('>100', 8.562095010491584)	('>500', 2.5145358558934565)	('>1k', 2.7631416425151203)	('>5k', 1.243806900470744)	('>10k+', 3.205702324965101)
