Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
L2-RNA-BS-030325_S58_L001_R1	65.7252460206551	48.0	58.4151773219546	59	27.27272727272727	52.229122
L2-RNA-BS-030325_S58_L001_R1_001	65.72243040137897	48.0	58.4942579904894	59	27.27272727272727	53.156912999999996
L2-RNA-BS-030325_S58_L001_R2	61.814782147004365	49.0	58.24018464258312	59	27.27272727272727	52.229122
L2-RNA-BS-030325_S58_L001_R2_001	61.32738426947175	49.0	58.45694532712989	59	27.27272727272727	53.156912999999996
L3-RNA-BS-030325_S59_L001_R1	66.02126079988581	48.0	58.41328467199567	59	27.27272727272727	58.038135999999994
L3-RNA-BS-030325_S59_L001_R1_001	65.94768446038842	48.0	58.506321526522584	59	27.27272727272727	59.113648999999995
L3-RNA-BS-030325_S59_L001_R2	61.81788489085599	49.0	58.22509920029134	59	27.27272727272727	58.038135999999994
L3-RNA-BS-030325_S59_L001_R2_001	61.22092855948904	49.0	58.470200359311264	59	27.27272727272727	59.113648999999995
P1-RNA-BS-030325_S54_L001_R1	66.30027598942112	48.0	58.40395391065209	59	27.27272727272727	46.991856
P1-RNA-BS-030325_S54_L001_R1_001	66.26858169008719	48.0	58.48965022049216	59	27.27272727272727	47.869957
P1-RNA-BS-030325_S54_L001_R2	62.13086431717025	49.0	58.21755512274297	59	27.27272727272727	46.991856
P1-RNA-BS-030325_S54_L001_R2_001	61.52854532929117	49.0	58.45757787081363	59	27.27272727272727	47.869957
P2-RNA-BS-030325_S2_L001_R1	42.96925660823836	48.0	58.37366027647911	59	18.181818181818183	15.422865
P2-RNA-BS-030325_S2_L001_R1_001	43.305217630072605	48.0	58.3931199476017	59	18.181818181818183	15.783717
P2-RNA-BS-030325_S2_L001_R2	28.965372046792695	49.0	58.00786527016867	59	18.181818181818183	15.422865
P2-RNA-BS-030325_S2_L001_R2_001	29.35749628706975	49.0	58.29987530820529	59	18.181818181818183	15.783717
P2-RNA-BS-030325_S55_L001_R1	63.435072047325306	48.0	58.40975349280638	59	27.27272727272727	37.310756999999995
P2-RNA-BS-030325_S55_L001_R1_001	63.49838681000348	48.0	58.45908660034126	59	27.27272727272727	38.063141
P2-RNA-BS-030325_S55_L001_R2	58.942034458536575	49.0	58.21870060154502	59	27.27272727272727	37.310756999999995
P2-RNA-BS-030325_S55_L001_R2_001	58.46657074945392	49.0	58.42711257066252	59	27.27272727272727	38.063141
P3-RNA-BS-030325_S56_L001_R1	65.58547412985459	48.0	58.41125099492267	59	27.27272727272727	43.088775999999996
P3-RNA-BS-030325_S56_L001_R1_001	65.57370314280935	48.0	58.48057618075819	59	27.27272727272727	43.895461
P3-RNA-BS-030325_S56_L001_R2	61.128381311242194	49.0	58.237091023425684	59	27.27272727272727	43.088775999999996
P3-RNA-BS-030325_S56_L001_R2_001	60.615079753638625	49.0	58.450328338048436	59	27.27272727272727	43.895461
Q1-RNA-BS-030325_S51_L001_R1	64.26095598388216	47.0	58.406678759035486	59	27.27272727272727	60.66636
Q1-RNA-BS-030325_S51_L001_R1_001	64.2349575850261	47.0	58.50216243599302	59	27.27272727272727	61.80576
Q1-RNA-BS-030325_S51_L001_R2	59.86429797195338	48.0	58.240979267587505	59	27.27272727272727	60.66636
Q1-RNA-BS-030325_S51_L001_R2_001	59.36090103415193	49.0	58.47158501084689	59	27.27272727272727	61.80576
Q2-RNA-BS-030325_S52_L001_R1	66.70345112694598	48.0	58.40262409450203	59	27.27272727272727	50.321206
Q2-RNA-BS-030325_S52_L001_R1_001	66.66538817935336	48.0	58.49749884724156	59	27.27272727272727	51.266161
Q2-RNA-BS-030325_S52_L001_R2	62.48259146697519	49.0	58.228561115963714	59	27.27272727272727	50.321206
Q2-RNA-BS-030325_S52_L001_R2_001	61.85237865831548	50.0	58.46869360863592	59	27.27272727272727	51.266161
Q3-RNA-BS-030325_S1_L001_R1	41.07422035690051	48.0	58.36636323943236	59	18.181818181818183	15.777863
Q3-RNA-BS-030325_S1_L001_R1_001	42.4370084234441	48.0	58.07765096646384	59	27.27272727272727	16.375159999999997
Q3-RNA-BS-030325_S1_L001_R2	28.26131411824656	49.0	58.01942259227374	59	18.181818181818183	15.777863
Q3-RNA-BS-030325_S1_L001_R2_001	29.516741095493387	49.0	57.984983474970626	59	27.27272727272727	16.375159999999997
Q3-RNA-BS-030325_S53_L001_R1	60.403942408318926	48.0	58.404044174016036	59	27.27272727272727	37.593683999999996
Q3-RNA-BS-030325_S53_L001_R1_001	60.863624493281115	48.0	58.26148461283427	59	36.36363636363637	38.691596
Q3-RNA-BS-030325_S53_L001_R2	55.86639197249788	49.0	58.21944688900401	59	27.27272727272727	37.593683999999996
Q3-RNA-BS-030325_S53_L001_R2_001	55.91220773197855	49.0	58.23014716167304	59	36.36363636363637	38.691596
