Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
C3-RNA-BS-030325_S46_L001_R2	(17, 22069.0)	(18, 21443.0)	(19, 22726.0)	(20, 20621.0)	(21, 19971.0)	(22, 19862.0)	(23, 19471.0)	(24, 19333.0)	(25, 18291.0)	(26, 17372.0)	(27, 16914.0)	(28, 16131.0)	(29, 15694.0)	(30, 15439.0)	(31, 15769.0)	(32, 15347.0)	(33, 15118.0)	(34, 15147.0)	(35, 15660.0)	(36, 15016.0)	(37, 15767.0)	(38, 15266.0)	(39, 15958.0)	(40, 15944.0)	(41, 15864.0)	(42, 15696.0)	(43, 15995.0)	(44, 15747.0)	(45, 15734.0)	(46, 16193.0)	(47, 16254.0)	(48, 16982.0)	(49, 18682.0)	(50, 16664.0)	(51, 19803.0)	(52, 23061.0)	(53, 37532.0)	(54, 86079.0)	(55, 378911.0)	(56, 1469188.0)	(57, 4197628.0)	(58, 14068305.0)	(59, 36640024.0)
C3-RNA-BS-030325_S46_L001_R2_001	(35, 50222.0)	(36, 53.0)	(37, 61.0)	(38, 67.0)	(39, 70.0)	(40, 78.0)	(41, 115.0)	(42, 109.0)	(43, 144.0)	(44, 147.0)	(45, 126.0)	(46, 230.0)	(47, 359.0)	(48, 914.0)	(49, 3080.0)	(50, 886.0)	(51, 4576.0)	(52, 7944.0)	(53, 22200.0)	(54, 70693.0)	(55, 363173.0)	(56, 1461998.0)	(57, 4210783.0)	(58, 14329235.0)	(59, 38069136.0)																		
F1-RNA-BS-030325_S47_L001_R1	(17, 4058.0)	(18, 3602.0)	(19, 3493.0)	(20, 3479.0)	(21, 3435.0)	(22, 3563.0)	(23, 3833.0)	(24, 4688.0)	(25, 6127.0)	(26, 5966.0)	(27, 6676.0)	(28, 7665.0)	(29, 8138.0)	(30, 9347.0)	(31, 8838.0)	(32, 9911.0)	(33, 10716.0)	(34, 11174.0)	(35, 10161.0)	(36, 10477.0)	(37, 10745.0)	(38, 10602.0)	(39, 10774.0)	(40, 10618.0)	(41, 11387.0)	(42, 12520.0)	(43, 12569.0)	(44, 10950.0)	(45, 11259.0)	(46, 12614.0)	(47, 11679.0)	(48, 11135.0)	(49, 13063.0)	(50, 11475.0)	(51, 14458.0)	(52, 18658.0)	(53, 33240.0)	(54, 72346.0)	(55, 283195.0)	(56, 1256845.0)	(57, 3885617.0)	(58, 12706428.0)	(59, 36300601.0)
F1-RNA-BS-030325_S47_L001_R1_001	(35, 131496.0)	(36, 77.0)	(37, 95.0)	(38, 91.0)	(39, 99.0)	(40, 93.0)	(41, 111.0)	(42, 148.0)	(43, 152.0)	(44, 154.0)	(45, 147.0)	(46, 242.0)	(47, 349.0)	(48, 717.0)	(49, 2703.0)	(50, 909.0)	(51, 4307.0)	(52, 8893.0)	(53, 23310.0)	(54, 62739.0)	(55, 273356.0)	(56, 1255171.0)	(57, 3905376.0)	(58, 12954424.0)	(59, 37254879.0)																		
F1-RNA-BS-030325_S47_L001_R2	(17, 19190.0)	(18, 19657.0)	(19, 21431.0)	(20, 18392.0)	(21, 18453.0)	(22, 17648.0)	(23, 17426.0)	(24, 17318.0)	(25, 16350.0)	(26, 15307.0)	(27, 15333.0)	(28, 14219.0)	(29, 14217.0)	(30, 13822.0)	(31, 14200.0)	(32, 13690.0)	(33, 14359.0)	(34, 14091.0)	(35, 14532.0)	(36, 14412.0)	(37, 14892.0)	(38, 14374.0)	(39, 14933.0)	(40, 14990.0)	(41, 14994.0)	(42, 14716.0)	(43, 15288.0)	(44, 14662.0)	(45, 14964.0)	(46, 15208.0)	(47, 15428.0)	(48, 15982.0)	(49, 17785.0)	(50, 15569.0)	(51, 18974.0)	(52, 21359.0)	(53, 35693.0)	(54, 80873.0)	(55, 358482.0)	(56, 1410673.0)	(57, 4007392.0)	(58, 13657338.0)	(59, 34739509.0)
F1-RNA-BS-030325_S47_L001_R2_001	(35, 131572.0)	(36, 76.0)	(37, 100.0)	(38, 92.0)	(39, 105.0)	(40, 98.0)	(41, 112.0)	(42, 146.0)	(43, 157.0)	(44, 162.0)	(45, 152.0)	(46, 247.0)	(47, 385.0)	(48, 853.0)	(49, 2972.0)	(50, 965.0)	(51, 4565.0)	(52, 7663.0)	(53, 21202.0)	(54, 66493.0)	(55, 343339.0)	(56, 1401062.0)	(57, 4007975.0)	(58, 13892663.0)	(59, 35996882.0)																		
F2-RNA-BS-030325_S48_L001_R1	(17, 4471.0)	(18, 4487.0)	(19, 4194.0)	(20, 4166.0)	(21, 4106.0)	(22, 4259.0)	(23, 4360.0)	(24, 5405.0)	(25, 7050.0)	(26, 6973.0)	(27, 7992.0)	(28, 9036.0)	(29, 9390.0)	(30, 10846.0)	(31, 10615.0)	(32, 11404.0)	(33, 12293.0)	(34, 12881.0)	(35, 12008.0)	(36, 11820.0)	(37, 12069.0)	(38, 12204.0)	(39, 12785.0)	(40, 12535.0)	(41, 13534.0)	(42, 14407.0)	(43, 14814.0)	(44, 12655.0)	(45, 13423.0)	(46, 15083.0)	(47, 13927.0)	(48, 13391.0)	(49, 15255.0)	(50, 14259.0)	(51, 16386.0)	(52, 21471.0)	(53, 40233.0)	(54, 86437.0)	(55, 339641.0)	(56, 1532764.0)	(57, 4710713.0)	(58, 15462102.0)	(59, 43920323.0)
F2-RNA-BS-030325_S48_L001_R1_001	(35, 155622.0)	(36, 92.0)	(37, 122.0)	(38, 134.0)	(39, 125.0)	(40, 133.0)	(41, 114.0)	(42, 163.0)	(43, 180.0)	(44, 232.0)	(45, 244.0)	(46, 308.0)	(47, 432.0)	(48, 921.0)	(49, 3194.0)	(50, 979.0)	(51, 4758.0)	(52, 10385.0)	(53, 28879.0)	(54, 75945.0)	(55, 330009.0)	(56, 1536971.0)	(57, 4757231.0)	(58, 15829269.0)	(59, 45218953.0)																		
F2-RNA-BS-030325_S48_L001_R2	(17, 28394.0)	(18, 27727.0)	(19, 29284.0)	(20, 25916.0)	(21, 25803.0)	(22, 24995.0)	(23, 24559.0)	(24, 24146.0)	(25, 23359.0)	(26, 21877.0)	(27, 21590.0)	(28, 20864.0)	(29, 20485.0)	(30, 19921.0)	(31, 20924.0)	(32, 19610.0)	(33, 19989.0)	(34, 20096.0)	(35, 20718.0)	(36, 20276.0)	(37, 21036.0)	(38, 20833.0)	(39, 21678.0)	(40, 21004.0)	(41, 21653.0)	(42, 20989.0)	(43, 21585.0)	(44, 21142.0)	(45, 21184.0)	(46, 21640.0)	(47, 21887.0)	(48, 22469.0)	(49, 24627.0)	(50, 21961.0)	(51, 25230.0)	(52, 28469.0)	(53, 45380.0)	(54, 100950.0)	(55, 435062.0)	(56, 1719969.0)	(57, 4841762.0)	(58, 16605455.0)	(59, 41911669.0)
F2-RNA-BS-030325_S48_L001_R2_001	(35, 155066.0)	(36, 102.0)	(37, 107.0)	(38, 136.0)	(39, 122.0)	(40, 126.0)	(41, 112.0)	(42, 159.0)	(43, 177.0)	(44, 236.0)	(45, 232.0)	(46, 275.0)	(47, 439.0)	(48, 1001.0)	(49, 3672.0)	(50, 1156.0)	(51, 5191.0)	(52, 9031.0)	(53, 25000.0)	(54, 81117.0)	(55, 414805.0)	(56, 1710828.0)	(57, 4859854.0)	(58, 16991483.0)	(59, 43694968.0)																		
F3-RNA-BS-030325_S49_L001_R1	(17, 3880.0)	(18, 3729.0)	(19, 3545.0)	(20, 3454.0)	(21, 3601.0)	(22, 3635.0)	(23, 3649.0)	(24, 4441.0)	(25, 5843.0)	(26, 5800.0)	(27, 6700.0)	(28, 7375.0)	(29, 8058.0)	(30, 9281.0)	(31, 9048.0)	(32, 10036.0)	(33, 10793.0)	(34, 11346.0)	(35, 10381.0)	(36, 10302.0)	(37, 10386.0)	(38, 10485.0)	(39, 10876.0)	(40, 10507.0)	(41, 11571.0)	(42, 12095.0)	(43, 12392.0)	(44, 10751.0)	(45, 11277.0)	(46, 12727.0)	(47, 11520.0)	(48, 11078.0)	(49, 13010.0)	(50, 11455.0)	(51, 14179.0)	(52, 18547.0)	(53, 34688.0)	(54, 75217.0)	(55, 291636.0)	(56, 1324887.0)	(57, 4076368.0)	(58, 13255611.0)	(59, 37888125.0)
F3-RNA-BS-030325_S49_L001_R1_001	(35, 80851.0)	(36, 89.0)	(37, 82.0)	(38, 85.0)	(39, 98.0)	(40, 108.0)	(41, 116.0)	(42, 124.0)	(43, 156.0)	(44, 169.0)	(45, 183.0)	(46, 259.0)	(47, 319.0)	(48, 721.0)	(49, 2794.0)	(50, 816.0)	(51, 4274.0)	(52, 8925.0)	(53, 24834.0)	(54, 66069.0)	(55, 282256.0)	(56, 1324597.0)	(57, 4104092.0)	(58, 13519151.0)	(59, 38886323.0)																		
F3-RNA-BS-030325_S49_L001_R2	(17, 19350.0)	(18, 18621.0)	(19, 19097.0)	(20, 18262.0)	(21, 18261.0)	(22, 17787.0)	(23, 17965.0)	(24, 17234.0)	(25, 17142.0)	(26, 16042.0)	(27, 15775.0)	(28, 15151.0)	(29, 14989.0)	(30, 14237.0)	(31, 14477.0)	(32, 14129.0)	(33, 14336.0)	(34, 14223.0)	(35, 14678.0)	(36, 14324.0)	(37, 14871.0)	(38, 14702.0)	(39, 15314.0)	(40, 15145.0)	(41, 15240.0)	(42, 15116.0)	(43, 15808.0)	(44, 15227.0)	(45, 14908.0)	(46, 15457.0)	(47, 15432.0)	(48, 15893.0)	(49, 17968.0)	(50, 15819.0)	(51, 19177.0)	(52, 22208.0)	(53, 36296.0)	(54, 85023.0)	(55, 369795.0)	(56, 1475731.0)	(57, 4166987.0)	(58, 14180918.0)	(59, 36375170.0)
F3-RNA-BS-030325_S49_L001_R2_001	(35, 80082.0)	(36, 94.0)	(37, 83.0)	(38, 85.0)	(39, 95.0)	(40, 107.0)	(41, 120.0)	(42, 129.0)	(43, 159.0)	(44, 174.0)	(45, 190.0)	(46, 255.0)	(47, 353.0)	(48, 896.0)	(49, 3109.0)	(50, 858.0)	(51, 4520.0)	(52, 7815.0)	(53, 21767.0)	(54, 70526.0)	(55, 354664.0)	(56, 1469006.0)	(57, 4171223.0)	(58, 14402767.0)	(59, 37718414.0)																		
F4-RNA-BS-030325_S50_L001_R1	(17, 4166.0)	(18, 4040.0)	(19, 3833.0)	(20, 3894.0)	(21, 3819.0)	(22, 3864.0)	(23, 4038.0)	(24, 4860.0)	(25, 6067.0)	(26, 6093.0)	(27, 7089.0)	(28, 7868.0)	(29, 8295.0)	(30, 9788.0)	(31, 9401.0)	(32, 10428.0)	(33, 11271.0)	(34, 11853.0)	(35, 10807.0)	(36, 10850.0)	(37, 10743.0)	(38, 10816.0)	(39, 11020.0)	(40, 10925.0)	(41, 11620.0)	(42, 12433.0)	(43, 12545.0)	(44, 11153.0)	(45, 11450.0)	(46, 12680.0)	(47, 11504.0)	(48, 11202.0)	(49, 13231.0)	(50, 11961.0)	(51, 14531.0)	(52, 18614.0)	(53, 34873.0)	(54, 76314.0)	(55, 303704.0)	(56, 1357784.0)	(57, 4198772.0)	(58, 13501222.0)	(59, 39145245.0)
F4-RNA-BS-030325_S50_L001_R1_001	(35, 45106.0)	(36, 60.0)	(37, 56.0)	(38, 67.0)	(39, 56.0)	(40, 79.0)	(41, 77.0)	(42, 107.0)	(43, 146.0)	(44, 104.0)	(45, 134.0)	(46, 176.0)	(47, 277.0)	(48, 704.0)	(49, 2878.0)	(50, 764.0)	(51, 4375.0)	(52, 8738.0)	(53, 25207.0)	(54, 67073.0)	(55, 294325.0)	(56, 1357255.0)	(57, 4229779.0)	(58, 13769398.0)	(59, 40181771.0)																		
F4-RNA-BS-030325_S50_L001_R2	(17, 19365.0)	(18, 18429.0)	(19, 18702.0)	(20, 17569.0)	(21, 18001.0)	(22, 17678.0)	(23, 17660.0)	(24, 17323.0)	(25, 17140.0)	(26, 16061.0)	(27, 15849.0)	(28, 15275.0)	(29, 14918.0)	(30, 14160.0)	(31, 15221.0)	(32, 14494.0)	(33, 14857.0)	(34, 14291.0)	(35, 15057.0)	(36, 14574.0)	(37, 15144.0)	(38, 15054.0)	(39, 15456.0)	(40, 15514.0)	(41, 15729.0)	(42, 15291.0)	(43, 16325.0)	(44, 15787.0)	(45, 16065.0)	(46, 16075.0)	(47, 16491.0)	(48, 17377.0)	(49, 19313.0)	(50, 16579.0)	(51, 19703.0)	(52, 23098.0)	(53, 38035.0)	(54, 87306.0)	(55, 382238.0)	(56, 1517884.0)	(57, 4314471.0)	(58, 14390639.0)	(59, 37630468.0)
F4-RNA-BS-030325_S50_L001_R2_001	(35, 44627.0)	(36, 62.0)	(37, 53.0)	(38, 74.0)	(39, 58.0)	(40, 84.0)	(41, 87.0)	(42, 111.0)	(43, 153.0)	(44, 110.0)	(45, 133.0)	(46, 172.0)	(47, 313.0)	(48, 801.0)	(49, 3210.0)	(50, 842.0)	(51, 4449.0)	(52, 8229.0)	(53, 22781.0)	(54, 72039.0)	(55, 366861.0)	(56, 1508562.0)	(57, 4327587.0)	(58, 14625904.0)	(59, 39001410.0)																		
L1-RNA-BS-030325_S57_L001_R1	(17, 4273.0)	(18, 4182.0)	(19, 4026.0)	(20, 3936.0)	(21, 3983.0)	(22, 3779.0)	(23, 4143.0)	(24, 4824.0)	(25, 6296.0)	(26, 6035.0)	(27, 6819.0)	(28, 7501.0)	(29, 8158.0)	(30, 9640.0)	(31, 9383.0)	(32, 10302.0)	(33, 11369.0)	(34, 11652.0)	(35, 10975.0)	(36, 10621.0)	(37, 10805.0)	(38, 10627.0)	(39, 10550.0)	(40, 10491.0)	(41, 10838.0)	(42, 11182.0)	(43, 11430.0)	(44, 10788.0)	(45, 10862.0)	(46, 11426.0)	(47, 11177.0)	(48, 11152.0)	(49, 13143.0)	(50, 11627.0)	(51, 14947.0)	(52, 19577.0)	(53, 36403.0)	(54, 79870.0)	(55, 327252.0)	(56, 1408445.0)	(57, 4331418.0)	(58, 14032171.0)	(59, 40995432.0)
L1-RNA-BS-030325_S57_L001_R1_001	(35, 62344.0)	(36, 94.0)	(37, 115.0)	(38, 148.0)	(39, 135.0)	(40, 127.0)	(41, 139.0)	(42, 164.0)	(43, 201.0)	(44, 235.0)	(45, 205.0)	(46, 316.0)	(47, 409.0)	(48, 1080.0)	(49, 3054.0)	(50, 886.0)	(51, 4999.0)	(52, 9986.0)	(53, 26533.0)	(54, 70314.0)	(55, 318135.0)	(56, 1409344.0)	(57, 4364975.0)	(58, 14302898.0)	(59, 42063500.0)																		
L1-RNA-BS-030325_S57_L001_R2	(17, 20533.0)	(18, 19576.0)	(19, 19698.0)	(20, 18625.0)	(21, 19183.0)	(22, 18498.0)	(23, 18582.0)	(24, 18008.0)	(25, 18188.0)	(26, 16854.0)	(27, 16711.0)	(28, 16079.0)	(29, 15766.0)	(30, 15576.0)	(31, 15681.0)	(32, 15225.0)	(33, 15878.0)	(34, 15171.0)	(35, 16012.0)	(36, 15810.0)	(37, 15855.0)	(38, 15999.0)	(39, 16587.0)	(40, 16223.0)	(41, 16853.0)	(42, 16276.0)	(43, 17120.0)	(44, 16559.0)	(45, 17008.0)	(46, 16653.0)	(47, 17081.0)	(48, 17271.0)	(49, 19771.0)	(50, 17603.0)	(51, 21087.0)	(52, 24756.0)	(53, 40912.0)	(54, 93604.0)	(55, 412313.0)	(56, 1574211.0)	(57, 4512334.0)	(58, 15089129.0)	(59, 39192651.0)
L1-RNA-BS-030325_S57_L001_R2_001	(35, 61446.0)	(36, 94.0)	(37, 118.0)	(38, 148.0)	(39, 145.0)	(40, 127.0)	(41, 150.0)	(42, 161.0)	(43, 206.0)	(44, 240.0)	(45, 220.0)	(46, 311.0)	(47, 497.0)	(48, 1012.0)	(49, 3581.0)	(50, 1119.0)	(51, 5201.0)	(52, 9297.0)	(53, 25061.0)	(54, 77701.0)	(55, 396371.0)	(56, 1565163.0)	(57, 4526852.0)	(58, 15336716.0)	(59, 40628399.0)																		
L2-RNA-BS-030325_S58_L001_R1	(17, 3800.0)	(18, 3530.0)	(19, 3463.0)	(20, 3373.0)	(21, 3352.0)	(22, 3482.0)	(23, 3639.0)	(24, 4138.0)	(25, 5412.0)	(26, 5178.0)	(27, 6009.0)	(28, 6637.0)	(29, 7102.0)	(30, 8277.0)	(31, 7885.0)	(32, 8865.0)	(33, 9588.0)	(34, 9855.0)	(35, 9318.0)	(36, 9037.0)	(37, 9035.0)	(38, 9351.0)	(39, 8943.0)	(40, 8956.0)	(41, 9437.0)	(42, 9575.0)	(43, 9687.0)	(44, 9199.0)	(45, 9313.0)	(46, 9929.0)	(47, 9480.0)	(48, 9549.0)	(49, 10980.0)	(50, 9737.0)	(51, 12412.0)	(52, 15847.0)	(53, 30028.0)	(54, 66549.0)	(55, 269288.0)	(56, 1196737.0)	(57, 3676254.0)	(58, 12056560.0)	(59, 34650336.0)
L2-RNA-BS-030325_S58_L001_R1_001	(35, 82781.0)	(36, 77.0)	(37, 77.0)	(38, 96.0)	(39, 80.0)	(40, 81.0)	(41, 113.0)	(42, 130.0)	(43, 138.0)	(44, 179.0)	(45, 168.0)	(46, 248.0)	(47, 370.0)	(48, 1031.0)	(49, 2446.0)	(50, 817.0)	(51, 4022.0)	(52, 7722.0)	(53, 21662.0)	(54, 58505.0)	(55, 260711.0)	(56, 1196375.0)	(57, 3699264.0)	(58, 12286789.0)	(59, 35533031.0)																		
L2-RNA-BS-030325_S58_L001_R2	(17, 17010.0)	(18, 16170.0)	(19, 16582.0)	(20, 15926.0)	(21, 15705.0)	(22, 15359.0)	(23, 15390.0)	(24, 15134.0)	(25, 15262.0)	(26, 14345.0)	(27, 13629.0)	(28, 13452.0)	(29, 13284.0)	(30, 12839.0)	(31, 13819.0)	(32, 12732.0)	(33, 13417.0)	(34, 12919.0)	(35, 13458.0)	(36, 13235.0)	(37, 13775.0)	(38, 13526.0)	(39, 14085.0)	(40, 14294.0)	(41, 14336.0)	(42, 13836.0)	(43, 14537.0)	(44, 14089.0)	(45, 14050.0)	(46, 14166.0)	(47, 14729.0)	(48, 14944.0)	(49, 17193.0)	(50, 15088.0)	(51, 17930.0)	(52, 20791.0)	(53, 34051.0)	(54, 78782.0)	(55, 359747.0)	(56, 1353499.0)	(57, 3835052.0)	(58, 12963645.0)	(59, 33073310.0)
L2-RNA-BS-030325_S58_L001_R2_001	(35, 82211.0)	(36, 79.0)	(37, 84.0)	(38, 97.0)	(39, 81.0)	(40, 80.0)	(41, 113.0)	(42, 123.0)	(43, 150.0)	(44, 180.0)	(45, 172.0)	(46, 243.0)	(47, 382.0)	(48, 808.0)	(49, 2859.0)	(50, 864.0)	(51, 4438.0)	(52, 7548.0)	(53, 20144.0)	(54, 65207.0)	(55, 346014.0)	(56, 1345837.0)	(57, 3842786.0)	(58, 13178196.0)	(59, 34258217.0)																		
L3-RNA-BS-030325_S59_L001_R1	(17, 3844.0)	(18, 3562.0)	(19, 3607.0)	(20, 3488.0)	(21, 3542.0)	(22, 3580.0)	(23, 3747.0)	(24, 4471.0)	(25, 6202.0)	(26, 5829.0)	(27, 6790.0)	(28, 7615.0)	(29, 8235.0)	(30, 9401.0)	(31, 9026.0)	(32, 9968.0)	(33, 10801.0)	(34, 11278.0)	(35, 10334.0)	(36, 10285.0)	(37, 10321.0)	(38, 10562.0)	(39, 10766.0)	(40, 10387.0)	(41, 11135.0)	(42, 12179.0)	(43, 12391.0)	(44, 10560.0)	(45, 11114.0)	(46, 12819.0)	(47, 11552.0)	(48, 11077.0)	(49, 12899.0)	(50, 11813.0)	(51, 14381.0)	(52, 18190.0)	(53, 34151.0)	(54, 73938.0)	(55, 299737.0)	(56, 1317806.0)	(57, 4056745.0)	(58, 13433652.0)	(59, 38494356.0)
L3-RNA-BS-030325_S59_L001_R1_001	(35, 63528.0)	(36, 102.0)	(37, 101.0)	(38, 106.0)	(39, 124.0)	(40, 139.0)	(41, 132.0)	(42, 163.0)	(43, 152.0)	(44, 144.0)	(45, 244.0)	(46, 279.0)	(47, 411.0)	(48, 950.0)	(49, 2782.0)	(50, 894.0)	(51, 4534.0)	(52, 8945.0)	(53, 24312.0)	(54, 64990.0)	(55, 291174.0)	(56, 1318903.0)	(57, 4086530.0)	(58, 13714345.0)	(59, 39529665.0)																		
